"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2013,1,1,NRMN,3.51,20.60,5.96,11.29
2013,1,2,NRMN,11.62,11.84,2.14,6.75
2013,1,3,NRMN,12.70,13.03,0.00,5.76
2013,1,4,NRMN,7.43,15.54,0.00,5.63
2013,1,5,NRMN,10.46,16.16,0.00,8.29
2013,1,6,NRMN,13.07,13.47,0.00,4.92
2013,1,7,NRMN,9.64,14.08,0.44,6.67
2013,1,8,NRMN,6.48,13.45,0.00,6.55
2013,1,9,NRMN,1.42,16.40,3.14,11.20
2013,1,10,NRMN,3.96,16.84,3.03,8.28
2013,1,11,NRMN,10.99,22.48,6.14,11.82
2013,1,12,NRMN,1.83,25.66,6.36,16.84
2013,1,13,NRMN,13.63,20.58,2.31,12.69
2013,1,14,NRMN,12.01,14.57,3.18,8.77
2013,1,15,NRMN,5.60,13.97,2.35,7.57
2013,1,16,NRMN,11.73,13.17,0.20,5.08
2013,1,17,NRMN,13.53,16.21,0.00,7.12
2013,1,18,NRMN,13.56,17.58,0.00,9.18
2013,1,19,NRMN,13.79,12.74,0.00,6.82
2013,1,20,NRMN,13.84,16.09,0.00,6.00
2013,1,21,NRMN,14.24,17.54,1.64,9.03
2013,1,22,NRMN,14.01,14.02,0.15,5.55
2013,1,23,NRMN,13.38,10.39,0.00,4.18
2013,1,24,NRMN,6.46,14.48,0.88,8.58
2013,1,25,NRMN,8.32,12.77,0.97,6.52
2013,1,26,NRMN,2.96,13.02,0.00,6.44
2013,1,27,NRMN,4.82,17.16,6.03,12.06
2013,1,28,NRMN,5.72,23.20,7.92,13.62
2013,1,29,NRMN,2.35,26.73,1.17,10.61
2013,1,30,NRMN,12.20,26.42,0.00,15.27
2013,1,31,NRMN,15.45,23.11,0.09,9.54
2013,2,1,NRMN,15.61,14.65,0.97,7.03
2013,2,2,NRMN,15.61,14.07,0.00,5.84
2013,2,3,NRMN,12.49,14.03,0.00,7.21
2013,2,4,NRMN,14.21,14.77,0.00,7.74
2013,2,5,NRMN,15.14,9.80,0.00,2.70
2013,2,6,NRMN,2.60,17.92,0.00,8.05
2013,2,7,NRMN,4.58,27.38,1.15,11.99
2013,2,8,NRMN,16.56,11.95,2.11,6.85
2013,2,9,NRMN,2.33,18.39,3.10,12.82
2013,2,10,NRMN,16.67,17.98,4.63,10.81
2013,2,11,NRMN,16.41,14.63,2.79,7.88
2013,2,12,NRMN,3.24,14.93,2.00,9.25
2013,2,13,NRMN,16.73,11.34,0.39,6.89
2013,2,14,NRMN,17.46,27.36,0.64,7.76
2013,2,15,NRMN,14.94,18.70,0.00,10.48
2013,2,16,NRMN,18.03,16.12,1.05,7.46
2013,2,17,NRMN,18.37,22.66,3.89,12.12
2013,2,18,NRMN,15.97,27.65,0.30,16.25
2013,2,19,NRMN,18.28,13.59,0.00,5.67
2013,2,20,NRMN,3.19,17.59,6.30,12.54
2013,2,21,NRMN,4.52,20.18,2.84,11.73
2013,2,22,NRMN,18.99,15.78,2.05,8.29
2013,2,23,NRMN,15.65,9.88,0.00,4.34
2013,2,24,NRMN,17.98,21.90,2.46,11.56
2013,2,25,NRMN,1.39,26.06,5.65,14.85
2013,2,26,NRMN,19.37,26.28,1.61,15.61
2013,2,27,NRMN,20.04,26.49,2.97,13.24
2013,2,28,NRMN,20.42,22.95,3.15,11.13
2013,3,1,NRMN,16.55,20.24,1.30,10.44
2013,3,2,NRMN,20.27,11.05,0.00,5.91
2013,3,3,NRMN,18.21,18.48,4.51,11.96
2013,3,4,NRMN,19.85,33.73,6.27,15.58
2013,3,5,NRMN,21.59,32.28,3.27,16.89
2013,3,6,NRMN,17.49,11.00,0.00,5.10
2013,3,7,NRMN,20.94,20.42,6.14,12.57
2013,3,8,NRMN,6.59,19.95,6.44,13.27
2013,3,9,NRMN,2.36,27.25,1.51,10.24
2013,3,10,NRMN,4.26,24.85,5.64,15.33
2013,3,11,NRMN,22.48,16.36,0.48,7.42
2013,3,12,NRMN,16.11,13.21,0.00,5.48
2013,3,13,NRMN,21.61,11.44,0.00,5.85
2013,3,14,NRMN,21.71,14.72,5.25,9.02
2013,3,15,NRMN,21.38,19.28,4.93,11.81
2013,3,16,NRMN,20.05,20.27,1.25,10.24
2013,3,17,NRMN,5.70,18.72,0.05,9.23
2013,3,18,NRMN,22.13,19.22,2.76,10.58
2013,3,19,NRMN,14.55,15.62,0.00,5.94
2013,3,20,NRMN,23.07,12.63,0.43,6.31
2013,3,21,NRMN,11.40,22.21,7.79,14.68
2013,3,22,NRMN,8.18,19.53,3.15,11.01
2013,3,23,NRMN,3.72,22.59,2.03,9.33
2013,3,24,NRMN,22.77,29.26,4.30,18.84
2013,3,25,NRMN,25.02,24.79,0.78,13.69
2013,3,26,NRMN,24.56,12.95,0.00,5.68
2013,3,27,NRMN,18.99,24.23,7.80,13.61
2013,3,28,NRMN,20.01,18.05,6.59,11.43
2013,3,29,NRMN,12.88,15.33,3.46,9.25
2013,3,30,NRMN,20.15,13.81,0.28,5.90
2013,3,31,NRMN,21.86,36.86,0.00,10.45
2013,4,1,NRMN,21.22,20.13,0.00,7.45
2013,4,2,NRMN,1.27,18.05,6.25,12.97
