YEAR,MONTH,DAY,STID,ATOT,WSMX,WSMN,WSPD
2013,1,1,HINT,3.33,18.41,5.31,10.53
2013,1,2,HINT,12.15,14.1,1.69,7.38
2013,1,3,HINT,12.43,12.48,0.28,6.09
2013,1,4,HINT,6.9,16.2,4.91,10.43
2013,1,5,HINT,11.29,18.79,5.28,10.33
2013,1,6,HINT,12.88,14.93,0.45,6.42
2013,1,7,HINT,8.16,18.05,3.15,12.06
2013,1,8,HINT,7.7,17.84,0.12,9.45
2013,1,9,HINT,2.81,22.82,0.11,13.15
2013,1,10,HINT,2.49,17.37,0.89,8.41
2013,1,11,HINT,10.84,30,6.66,18.07
2013,1,12,HINT,2.51,28.34,5.64,18.47
2013,1,13,HINT,13.36,22.28,1.02,12.85
2013,1,14,HINT,11.8,17.94,2.35,9.46
2013,1,15,HINT,8.12,13.49,0.12,7.2
2013,1,16,HINT,11.92,12.94,0.3,6.54
2013,1,17,HINT,13.38,17.01,0.88,8.54
2013,1,18,HINT,13.43,25.3,8.33,16.65
2013,1,19,HINT,13.84,18.3,0.14,9.29
2013,1,20,HINT,13.89,24.87,0.55,7.86
2013,1,21,HINT,13.92,23.64,1.77,10.84
2013,1,22,HINT,13.91,21.83,1,11.07
2013,1,23,HINT,14.07,14.27,0.07,5.06
2013,1,24,HINT,5.86,21.54,2.26,11.98
2013,1,25,HINT,11.42,14.86,1.42,6.6
2013,1,26,HINT,8.8,24.23,0.15,9.22
2013,1,27,HINT,9.53,29.44,10.73,21.06
2013,1,28,HINT,7.78,29.48,5.13,17.74
2013,1,29,HINT,7.38,30.33,0.88,11.05
2013,1,30,HINT,14.8,23.96,7.06,15.13
2013,1,31,HINT,-996,28.19,0.9,12.28
2013,2,1,HINT,15.39,22.75,0.08,8.25
2013,2,2,HINT,15.51,15.88,0.51,5.81
2013,2,3,HINT,12.57,19.95,0.87,10.89
2013,2,4,HINT,14.5,19.44,0.07,10.07
2013,2,5,HINT,16.07,11.27,0.07,4.49
2013,2,6,HINT,7.67,29.04,1.27,12.51
2013,2,7,HINT,6.72,32.21,2.34,16.81
2013,2,8,HINT,15.03,13.46,0.28,6.66
2013,2,9,HINT,2.9,27.04,8.47,18.11
2013,2,10,HINT,16.81,20.2,2.04,12.1
2013,2,11,HINT,16.13,18.81,0.63,10.31
2013,2,12,HINT,6.24,21.07,0.76,11.02
2013,2,13,HINT,-996,12.11,0.86,6.53
2013,2,14,HINT,17.39,22.95,0.51,9.59
2013,2,15,HINT,14.85,22.37,1.27,10.49
2013,2,16,HINT,17.86,19.71,0.59,10.16
2013,2,17,HINT,18.23,30.4,4.16,17.68
2013,2,18,HINT,17.95,29.37,1.19,16.9
2013,2,19,HINT,18.01,14.12,0.24,6.56
2013,2,20,HINT,3,25.66,8.93,16.53
2013,2,21,HINT,5.06,24.2,3.98,12
2013,2,22,HINT,18.22,14.86,0.94,7.23
2013,2,23,HINT,17.21,13.49,0.08,6.99
2013,2,24,HINT,18.88,34.4,1.35,17.68
2013,2,25,HINT,2.97,34.45,5.5,22.78
2013,2,26,HINT,19.54,23.2,1.55,11.79
2013,2,27,HINT,20.37,25.03,4.84,12.2
2013,2,28,HINT,20.45,18.59,0.15,8.78
2013,3,1,HINT,16.54,15.18,1.38,7.55
2013,3,2,HINT,19.95,14.8,1.3,6.81
2013,3,3,HINT,16.99,28.88,10.86,17.28
2013,3,4,HINT,20.17,32.57,8.81,17.43
2013,3,5,HINT,21.63,26.55,0.09,13.84
2013,3,6,HINT,15.99,15.89,1.16,8.4
2013,3,7,HINT,21.03,28.97,9.59,19.57
2013,3,8,HINT,7.32,29.95,15.13,21.89
2013,3,9,HINT,6.42,27.09,4.02,15.38
2013,3,10,HINT,5.11,24.99,2.65,15.05
2013,3,11,HINT,22.24,14.99,2.35,8.49
2013,3,12,HINT,15.64,16.36,0.07,7.95
2013,3,13,HINT,-996,18.05,0.08,9.31
2013,3,14,HINT,-996,17.98,7.83,12.94
2013,3,15,HINT,21.63,20.38,2.42,13.45
2013,3,16,HINT,20.08,24.9,5.02,17.51
2013,3,17,HINT,7.91,26.55,0.61,12.13
2013,3,18,HINT,23.04,24.52,3.35,12.84
2013,3,19,HINT,11.77,18.23,0.48,7.75
2013,3,20,HINT,22.59,18.61,1.54,7.6
2013,3,21,HINT,15.81,30.98,12.58,19.34
2013,3,22,HINT,7.07,24.96,1.86,14.03
2013,3,23,HINT,3.9,24.18,5.08,11.96
2013,3,24,HINT,24.82,26.78,3.21,16.8
2013,3,25,HINT,25.16,21.34,0.36,10.81
2013,3,26,HINT,25.02,22.7,0.41,9.19
2013,3,27,HINT,21.78,34.38,8.08,20.66
2013,3,28,HINT,21.19,20.18,11.05,14.4
2013,3,29,HINT,16.36,19.33,6.2,12.49
2013,3,30,HINT,24.24,14.44,1.1,6.88
2013,3,31,HINT,23.67,33.8,1.13,11.22
2013,4,1,HINT,22.67,28.95,6.51,16.51
2013,4,2,HINT,1.94,29.71,13.54,20.43
2013,4,3,HINT,1.99,19.33,5.31,13.08
2013,4,4,HINT,6.31,12.93,0.07,5.64
2013,4,5,HINT,22.34,31.03,1.99,14.09
2013,4,6,HINT,21.33,30.29,0.07,13.12
2013,4,7,HINT,15.81,24.49,1.47,15.66
2013,4,8,HINT,24.02,33.4,17.92,22.88
2013,4,9,HINT,15.77,30.74,15.25,21.53
2013,4,10,HINT,14.4,-996,-996,-996
2013,4,11,HINT,27.11,16.33,0.48,8.25
2013,4,12,HINT,21.77,17.2,0.97,7.91
2013,4,13,HINT,26.28,28.9,8.37,18.52
2013,4,14,HINT,26.73,33.33,0.35,19.69
2013,4,15,HINT,25.89,28.72,5.2,17.63
2013,4,16,HINT,5.94,21.59,10.63,15.18
2013,4,17,HINT,2.13,21.99,1.19,9.89
2013,4,18,HINT,20.41,28.68,3.16,17.24
2013,4,19,HINT,28.63,16.78,4.26,10.16
2013,4,20,HINT,23.53,33.46,8.69,18.04
2013,4,21,HINT,26.09,26.24,7.31,16.56
2013,4,22,HINT,23.11,30.76,4.83,17.88
2013,4,23,HINT,6.22,28.54,9.57,20
2013,4,24,HINT,29.5,16.82,2.44,6.93
