"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2013,1,1,TISH,2.96,13.96,2.19,7.89
2013,1,2,TISH,8.21,11.57,0.32,5.62
2013,1,3,TISH,11.34,12.43,0.49,5.90
2013,1,4,TISH,6.75,10.71,0.08,4.51
2013,1,5,TISH,8.41,15.29,0.07,6.22
2013,1,6,TISH,12.94,15.13,0.69,7.43
2013,1,7,TISH,9.77,15.92,0.36,5.63
2013,1,8,TISH,2.71,10.58,0.97,5.86
2013,1,9,TISH,1.06,20.24,6.25,12.48
2013,1,10,TISH,5.86,21.50,6.62,11.52
2013,1,11,TISH,11.54,23.55,3.21,11.77
2013,1,12,TISH,1.44,21.92,0.07,13.57
2013,1,13,TISH,13.07,21.30,4.21,12.82
2013,1,14,TISH,12.09,18.07,6.74,12.26
2013,1,15,TISH,5.03,14.20,2.98,8.24
2013,1,16,TISH,13.55,10.14,1.05,5.21
2013,1,17,TISH,13.50,16.48,0.78,8.46
2013,1,18,TISH,13.49,17.34,0.20,7.45
2013,1,19,TISH,12.31,14.20,0.08,6.49
2013,1,20,TISH,13.58,15.95,0.46,4.72
2013,1,21,TISH,13.57,18.14,4.71,11.34
2013,1,22,TISH,12.92,11.75,2.39,5.96
2013,1,23,TISH,13.66,13.56,2.03,5.68
2013,1,24,TISH,6.22,10.12,1.18,6.29
2013,1,25,TISH,10.07,16.44,2.80,8.51
2013,1,26,TISH,1.86,10.04,2.95,6.13
2013,1,27,TISH,3.31,19.48,2.49,8.96
2013,1,28,TISH,4.67,23.60,7.40,15.27
2013,1,29,TISH,1.93,26.55,1.88,12.71
2013,1,30,TISH,11.32,23.15,0.24,11.83
2013,1,31,TISH,15.42,22.73,0.07,9.72
2013,2,1,TISH,15.35,17.39,3.70,8.88
2013,2,2,TISH,15.59,16.43,1.28,6.70
2013,2,3,TISH,13.55,14.27,3.41,7.60
2013,2,4,TISH,11.53,18.25,0.26,8.07
2013,2,5,TISH,4.23,7.68,0.07,4.14
2013,2,6,TISH,2.21,12.64,0.07,7.54
2013,2,7,TISH,5.86,25.17,2.99,11.69
2013,2,8,TISH,15.73,15.12,3.20,8.79
2013,2,9,TISH,2.11,16.66,2.87,9.35
2013,2,10,TISH,14.67,17.58,3.01,9.66
2013,2,11,TISH,16.10,14.75,0.07,7.63
2013,2,12,TISH,2.10,19.62,1.09,9.74
2013,2,13,TISH,15.71,12.93,0.78,6.48
2013,2,14,TISH,17.40,17.89,0.07,4.54
2013,2,15,TISH,15.67,21.59,3.91,12.31
2013,2,16,TISH,17.74,11.34,1.38,5.87
2013,2,17,TISH,17.95,24.40,4.22,12.43
2013,2,18,TISH,13.54,28.36,5.16,17.03
2013,2,19,TISH,17.89,13.02,0.07,6.86
2013,2,20,TISH,2.93,18.05,2.79,11.25
2013,2,21,TISH,11.81,18.28,2.13,11.15
2013,2,22,TISH,18.15,18.07,0.94,7.52
2013,2,23,TISH,16.54,9.54,0.13,4.91
2013,2,24,TISH,18.77,17.56,2.22,9.42
2013,2,25,TISH,2.05,19.37,0.79,10.38
2013,2,26,TISH,17.65,21.16,3.51,12.52
2013,2,27,TISH,19.52,20.29,0.36,10.32
2013,2,28,TISH,19.93,19.84,4.02,10.34
2013,3,1,TISH,15.36,16.10,2.45,8.97
2013,3,2,TISH,20.06,13.79,0.28,7.11
2013,3,3,TISH,18.28,21.45,0.32,11.58
2013,3,4,TISH,19.30,33.08,3.76,14.87
2013,3,5,TISH,20.91,33.55,3.93,16.18
2013,3,6,TISH,18.60,10.92,1.03,5.37
2013,3,7,TISH,20.47,21.56,0.99,10.61
2013,3,8,TISH,3.25,16.63,4.25,8.98
2013,3,9,TISH,2.12,23.26,1.40,11.84
2013,3,10,TISH,7.94,19.93,1.45,10.77
2013,3,11,TISH,22.07,15.10,0.07,6.23
2013,3,12,TISH,15.93,14.41,0.07,6.15
2013,3,13,TISH,21.67,11.21,1.23,5.92
2013,3,14,TISH,21.13,19.62,1.76,8.64
2013,3,15,TISH,21.67,24.96,2.48,12.57
2013,3,16,TISH,21.51,17.79,4.05,11.26
2013,3,17,TISH,8.05,15.46,1.25,7.55
2013,3,18,TISH,21.31,20.65,1.92,10.30
2013,3,19,TISH,13.77,14.46,0.07,7.30
2013,3,20,TISH,22.85,12.82,1.21,7.20
2013,3,21,TISH,8.85,21.90,3.49,12.09
2013,3,22,TISH,3.79,18.57,5.74,12.18
2013,3,23,TISH,2.31,15.54,1.88,7.65
2013,3,24,TISH,21.94,26.28,3.31,16.17
2013,3,25,TISH,24.24,20.89,3.04,10.29
2013,3,26,TISH,24.43,9.18,0.96,4.62
2013,3,27,TISH,23.37,28.61,3.20,12.09
2013,3,28,TISH,17.80,20.67,3.36,11.23
