"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2014,6,1,TISH,22.70,16.67,1.11,9.00
2014,6,2,TISH,-996.00,19.75,2.10,8.83
2014,6,3,TISH,27.67,16.70,2.41,9.69
2014,6,4,TISH,28.52,22.17,2.20,11.88
2014,6,5,TISH,25.12,21.07,2.29,10.07
2014,6,6,TISH,13.20,22.88,0.00,7.41
2014,6,7,TISH,24.61,16.86,0.00,8.31
2014,6,8,TISH,17.80,20.42,1.21,7.61
2014,6,9,TISH,19.62,18.45,3.12,8.83
2014,6,10,TISH,25.66,16.07,2.33,8.35
2014,6,11,TISH,29.92,11.92,1.27,5.99
2014,6,12,TISH,15.23,28.50,1.69,8.12
2014,6,13,TISH,30.52,13.20,1.36,6.35
2014,6,14,TISH,22.02,20.92,3.89,11.93
2014,6,15,TISH,23.85,20.31,6.38,12.79
2014,6,16,TISH,25.76,21.68,5.40,13.93
2014,6,17,TISH,23.72,21.25,8.03,14.52
2014,6,18,TISH,22.37,20.94,3.45,12.55
2014,6,19,TISH,14.95,18.81,1.17,7.88
2014,6,20,TISH,20.94,12.83,0.21,4.94
2014,6,21,TISH,20.33,12.95,0.00,5.82
2014,6,22,TISH,26.53,18.43,1.14,8.69
2014,6,23,TISH,19.14,23.04,0.75,6.27
2014,6,24,TISH,25.78,8.01,0.00,3.44
2014,6,25,TISH,18.66,16.06,0.01,5.67
2014,6,26,TISH,15.76,15.43,1.61,8.91
2014,6,27,TISH,17.42,22.19,9.14,14.37
2014,6,28,TISH,13.43,24.99,4.04,12.18
2014,6,29,TISH,27.07,20.27,6.47,12.55
2014,6,30,TISH,29.65,21.41,7.19,14.81
