"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2016,6,1,TISH,14.54,10.02,0.13,3.84
2016,6,2,TISH,4.60,12.74,0.02,7.26
2016,6,3,TISH,15.11,11.37,0.62,5.93
2016,6,4,TISH,22.22,11.56,0.00,4.35
2016,6,5,TISH,28.84,15.27,2.34,7.43
2016,6,6,TISH,30.72,11.38,0.89,4.96
2016,6,7,TISH,28.98,8.08,0.00,2.99
2016,6,8,TISH,29.98,12.37,0.35,4.98
2016,6,9,TISH,27.38,15.78,0.00,6.72
2016,6,10,TISH,28.50,15.83,1.27,6.94
2016,6,11,TISH,22.94,14.49,1.16,5.50
2016,6,12,TISH,9.25,16.33,0.34,5.19
2016,6,13,TISH,10.28,13.52,0.00,4.25
2016,6,14,TISH,22.03,19.37,0.00,7.66
2016,6,15,TISH,27.13,16.02,0.11,7.69
2016,6,16,TISH,21.28,14.87,2.21,7.36
2016,6,17,TISH,28.64,12.25,0.00,5.76
2016,6,18,TISH,24.19,12.94,0.00,5.45
2016,6,19,TISH,21.15,11.86,1.24,5.76
2016,6,20,TISH,23.99,11.03,1.12,4.12
2016,6,21,TISH,-996.00,10.59,0.00,4.69
2016,6,22,TISH,27.75,17.52,4.73,9.91
2016,6,23,TISH,28.55,15.82,2.96,8.79
2016,6,24,TISH,29.01,15.99,1.20,7.76
2016,6,25,TISH,26.79,16.85,0.30,8.84
2016,6,26,TISH,25.46,23.71,0.00,8.62
2016,6,27,TISH,16.13,15.35,0.00,3.62
2016,6,28,TISH,26.18,14.37,0.00,5.59
2016,6,29,TISH,28.74,11.44,0.00,4.38
2016,6,30,TISH,26.92,11.56,0.00,4.91
