YEAR,MONTH,DAY,STID,ATOT,WSMX,WSMN,WSPD
2014,5,26,HINT,15.21,21.63,1.42,10.07
2014,5,27,HINT,14.33,16.71,0.18,5.5
2014,5,28,HINT,27.23,15.36,0.95,7.07
2014,5,29,HINT,27.94,12.92,0.11,5.67
2014,5,30,HINT,27.22,14.05,0.59,7.19
2014,5,31,HINT,21.88,14.34,0.09,5.65
2014,6,1,HINT,26.43,31.34,4.43,16.38
2014,6,2,HINT,25.28,31.05,4.22,14.23
2014,6,3,HINT,27.73,25.64,9.38,17.71
2014,6,4,HINT,29.88,26.17,5.02,16
2014,6,5,HINT,26.36,21.72,1.77,12.52
2014,6,6,HINT,21.28,37.4,1.17,12.19
2014,6,7,HINT,15.55,21.52,2.02,8.22
2014,6,8,HINT,17.36,19.42,3.76,10.1
2014,6,9,HINT,22.48,26.98,2.91,16.08
2014,6,10,HINT,22.35,20.69,1.17,10.61
2014,6,11,HINT,-996,24.05,4.64,14.5
2014,6,12,HINT,22.88,25.28,2.28,10.9
2014,6,13,HINT,30,15.18,1.14,7.03
2014,6,14,HINT,29.4,31.72,11.18,21.35
2014,6,15,HINT,22.09,29.89,0.81,13.84
2014,6,16,HINT,27.59,31.54,13.35,22.98
2014,6,17,HINT,27.28,28.27,14.31,22.4
2014,6,18,HINT,-996,29.93,12,19.85
2014,6,19,HINT,20.86,34.54,0.55,14.92
2014,6,20,HINT,29.8,16.54,5.38,12.13
2014,6,21,HINT,28.17,22.1,3,11.32
2014,6,22,HINT,25.39,23.78,6.5,12.97
2014,6,23,HINT,27.93,33.76,1.51,10.35
2014,6,24,HINT,23.37,20.45,0.07,7.99
2014,6,25,HINT,25.36,20.56,0.69,8.62
2014,6,26,HINT,21.96,20.96,9.73,14.67
2014,6,27,HINT,25.2,31.41,15.55,22.16
2014,6,28,HINT,16.3,33.73,4.2,15.48
2014,6,29,HINT,27.23,25.7,10.63,17.98
2014,6,30,HINT,29.64,26.62,8.65,18.85
2014,7,1,HINT,19.02,25.52,0.71,9.29
2014,7,2,HINT,21.28,20.51,0.14,9.01
2014,7,3,HINT,27.24,17.31,0.19,8.26
2014,7,4,HINT,29.39,18.86,4.17,12.09
2014,7,5,HINT,28.7,21.99,11.45,15.75
2014,7,6,HINT,29.77,22.12,8.88,15.77
2014,7,7,HINT,30,19.15,7.03,12.22
2014,7,8,HINT,28.52,18.41,4.1,11.87
2014,7,9,HINT,20.9,16.78,0.8,7.89
2014,7,10,HINT,28.13,19.73,3.64,13.93
2014,7,11,HINT,30.12,22.48,7.1,14.23
