"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2014,1,1,NRMN,11.88,29.17,4.40,14.17
2014,1,2,NRMN,12.59,22.77,0.00,8.28
2014,1,3,NRMN,11.91,22.21,5.23,14.16
2014,1,4,NRMN,12.16,23.69,4.53,15.08
2014,1,5,NRMN,11.19,26.22,6.34,19.87
2014,1,6,NRMN,13.92,14.63,3.10,7.90
2014,1,7,NRMN,12.71,20.36,6.46,12.00
2014,1,8,NRMN,1.69,15.75,4.57,10.16
2014,1,9,NRMN,2.42,11.09,2.58,5.77
2014,1,10,NRMN,7.87,19.93,3.50,9.79
2014,1,11,NRMN,12.92,19.53,1.11,9.14
2014,1,12,NRMN,12.81,26.53,6.78,15.11
2014,1,13,NRMN,-996.00,21.09,3.48,10.92
2014,1,14,NRMN,8.45,24.74,0.98,10.40
2014,1,15,NRMN,13.06,13.39,2.11,7.54
2014,1,16,NRMN,13.21,26.82,3.24,13.10
2014,1,17,NRMN,13.82,22.46,0.00,9.82
2014,1,18,NRMN,13.33,22.86,4.88,12.66
2014,1,19,NRMN,13.75,20.78,0.56,9.08
2014,1,20,NRMN,13.86,24.92,0.00,10.52
2014,1,21,NRMN,14.99,28.59,1.20,10.34
2014,1,22,NRMN,13.45,16.45,0.00,8.41
2014,1,23,NRMN,11.01,25.50,0.57,16.04
2014,1,24,NRMN,15.61,20.60,0.23,10.31
2014,1,25,NRMN,14.08,15.24,0.00,6.41
2014,1,26,NRMN,14.19,34.25,0.84,6.30
2014,1,27,NRMN,9.06,32.82,11.22,18.90
2014,1,28,NRMN,16.12,17.49,0.00,7.52
2014,1,29,NRMN,-996.00,19.39,2.78,10.28
2014,1,30,NRMN,11.74,21.68,5.46,13.28
2014,1,31,NRMN,5.33,14.99,3.06,8.83
2014,2,1,NRMN,10.56,19.06,6.23,12.38
2014,2,2,NRMN,7.26,23.71,1.39,12.51
2014,2,3,NRMN,7.20,8.76,0.04,4.07
2014,2,4,NRMN,2.81,-996.00,-996.00,-996.00
2014,2,5,NRMN,12.31,27.36,11.97,18.30
2014,2,6,NRMN,11.93,18.05,3.33,9.73
2014,2,7,NRMN,6.69,11.15,1.31,6.34
2014,2,8,NRMN,3.39,11.27,0.40,6.14
2014,2,9,NRMN,3.14,14.58,2.02,9.60
2014,2,10,NRMN,4.86,16.46,5.78,11.63
2014,2,11,NRMN,13.29,14.10,0.73,7.09
2014,2,12,NRMN,16.56,16.13,0.00,5.48
2014,2,13,NRMN,16.69,14.98,0.00,5.69
2014,2,14,NRMN,17.37,29.26,0.53,11.71
2014,2,15,NRMN,15.19,22.46,0.00,7.71
2014,2,16,NRMN,16.23,22.70,0.45,9.75
2014,2,17,NRMN,18.02,29.35,1.60,12.36
2014,2,18,NRMN,15.44,24.38,0.53,9.94
2014,2,19,NRMN,-996.00,17.81,6.32,11.84
2014,2,20,NRMN,17.47,34.00,4.78,18.09
2014,2,21,NRMN,18.82,21.07,0.00,8.72
2014,2,22,NRMN,18.35,18.50,1.66,9.04
2014,2,23,NRMN,17.88,20.96,2.94,12.76
2014,2,24,NRMN,7.21,11.46,1.50,5.87
2014,2,25,NRMN,9.24,24.47,3.57,12.19
2014,2,26,NRMN,21.13,25.19,0.30,10.58
2014,2,27,NRMN,20.09,14.19,1.68,7.24
